,player_id,Player,pos,class
0,0,Precious Achiuwa,PF,3
1,1,Jaylen Adams,PG,2
2,2,Steven Adams,C,3
3,3,Bam Adebayo,C,0
4,4,LaMarcus Aldridge,C,1
5,5,Ty-Shon Alexander,SG,1
6,6,Nickeil Alexander-Walker,SG,1
7,7,Grayson Allen,SG,1
8,8,Jarrett Allen,C,3
9,9,Al-Farouq Aminu,PF,1
10,10,Kyle Anderson,PF,1
11,11,Giannis Antetokounmpo,PF,0
12,12,Kostas Antetokounmpo,PF,3
13,13,Thanasis Antetokounmpo,SF,3
14,14,Carmelo Anthony,PF,1
15,15,Cole Anthony,PG,1
16,16,OG Anunoby,SF,1
17,17,Ryan Arcidiacono,PG,1
18,18,Trevor Ariza,SF,1
19,19,D.J. Augustin,PG,1
20,20,Deni Avdija,SF,1
21,21,Deandre Ayton,C,3
22,22,Udoka Azubuike,C,3
23,23,Dwayne Bacon,SG,1
24,24,Marvin Bagley III,PF,3
25,25,LaMelo Ball,PG,0
26,26,Lonzo Ball,PG,1
27,27,Mo Bamba,C,3
28,28,Desmond Bane,SG,1
29,29,Harrison Barnes,PF,1
30,30,RJ Barrett,SG,1
31,31,Will Barton,SF,1
32,32,Keita Bates-Diop,SF,1
33,33,Nicolas Batum,SF,1
34,34,Aron Baynes,C,3
35,35,Kent Bazemore,SF,1
36,36,Darius Bazley,PF,1
37,37,Bradley Beal,SG,0
38,38,Malik Beasley,SG,1
39,39,Jordan Bell,C,3
40,40,DeAndre' Bembry,SF,1
41,41,Dāvis Bertāns,PF,1
42,42,Patrick Beverley,PG,1
43,43,Saddiq Bey,SF,1
44,44,Tyler Bey,SF,1
45,45,Khem Birch,C,3
46,46,Goga Bitadze,C,3
47,47,Bismack Biyombo,C,3
48,48,Nemanja Bjelica,PF,1
49,49,Eric Bledsoe,SG,1
50,50,Keljin Blevins,SF,1
51,51,Bogdan Bogdanović,SG,1
52,52,Bojan Bogdanović,SF,1
53,53,Bol Bol,PF,1
54,54,Marques Bolden,C,3
55,55,Jordan Bone,PG,1
56,56,Isaac Bonga,SF,1
57,57,Devin Booker,SG,0
58,58,Chris Boucher,C,3
59,59,Brian Bowen,SF,1
60,60,Avery Bradley,SG,1
61,61,Tony Bradley,C,3
62,62,Jarrell Brantley,PF,1
63,63,Ignas Brazdeikis,SF,1
64,64,Mikal Bridges,SF,1
65,65,Miles Bridges,PF,1
66,66,Amida Brimah,C,3
67,67,Oshae Brissett,SF,1
68,68,Malcolm Brogdon,PG,0
69,69,Armoni Brooks,SG,1
70,70,Dillon Brooks,SF,1
71,71,Bruce Brown,PG,3
72,72,Charlie Brown Jr.,SG,1
73,73,Jaylen Brown,SG,0
74,74,Moses Brown,C,3
75,75,Sterling Brown,SG,1
76,76,Troy Brown Jr.,SF,1
77,77,Jalen Brunson,PG,1
78,78,Elijah Bryant,SG,1
79,79,Thomas Bryant,C,3
80,80,Reggie Bullock,SF,1
81,81,Trey Burke,PG,1
82,82,Alec Burks,SG,1
83,83,Jimmy Butler,SF,0
84,84,Bruno Caboclo,PF,3
85,85,Devontae Cacok,PF,3
86,86,Kentavious Caldwell-Pope,SG,1
87,87,Facundo Campazzo,PG,1
88,88,Vlatko Čančar,PF,1
89,89,Devin Cannady,PG,1
90,90,Clint Capela,C,3
91,91,Vernon Carey Jr.,C,3
92,92,Jevon Carter,PG,1
93,93,Wendell Carter Jr.,C,3
94,94,Michael Carter-Williams,SG,1
95,95,Alex Caruso,PG,1
96,96,Willie Cauley-Stein,C,3
97,97,Chris Chiozza,PG,1
98,98,Marquese Chriss,PF,3
99,99,Gary Clark,PF-SF,1
100,100,Brandon Clarke,PF,3
101,101,Jordan Clarkson,SG,0
102,102,Nic Claxton,C,3
103,103,Amir Coffey,SG,1
104,104,John Collins,PF,0
105,105,Mike Conley,PG,0
106,106,Pat Connaughton,SG,1
107,107,Quinn Cook,PG,1
108,108,Tyler Cook,SF-PF,3
109,109,DeMarcus Cousins,C,3
110,110,Robert Covington,PF,1
111,111,Torrey Craig,SF,1
112,112,Jae Crowder,PF,1
113,113,Jarrett Culver,SG,1
114,114,Seth Curry,SG,1
115,115,Stephen Curry,PG,0
116,116,Nate Darling,SG,1
117,117,Anthony Davis,PF,0
118,118,Ed Davis,C,3
119,119,Terence Davis,SG,1
120,120,Gabriel Deck,PF,1
121,121,Dewayne Dedmon,C,3
122,122,Matthew Dellavedova,PG,1
123,123,DeMar DeRozan,PF,0
124,124,Mamadi Diakite,PF,3
125,125,Hamidou Diallo,SG-SF,3
126,126,Gorgui Dieng,C,3
127,127,Spencer Dinwiddie,SG,1
128,128,Donte DiVincenzo,SG,1
129,129,Luka Dončić,PG,0
130,130,Luguentz Dort,SG,1
131,131,Damyean Dotson,SG,1
132,132,Devon Dotson,PG,1
133,133,Sekou Doumbouya,PF,1
134,134,PJ Dozier,SG,1
135,135,Goran Dragić,PG,1
136,136,Andre Drummond,C,3
137,137,Jared Dudley,PF,1
138,138,Kris Dunn,PG,2
139,139,Kevin Durant,PF,0
140,140,Anthony Edwards,SG,1
141,141,Carsen Edwards,SG,1
142,142,CJ Elleby,SF,1
143,143,Henry Ellenson,PF,1
144,144,Wayne Ellington,SG,1
145,145,Joel Embiid,C,0
146,146,James Ennis III,SF,1
147,147,Drew Eubanks,C,3
148,148,Dante Exum,SG,1
149,149,Tacko Fall,C,3
150,150,Derrick Favors,C,3
151,151,Cristiano Felício,C,3
152,152,Terrance Ferguson,SG,2
153,153,Bruno Fernando,C,3
154,154,Yogi Ferrell,PG,1
155,155,Dorian Finney-Smith,PF,1
156,156,Malik Fitts,PF,1
157,157,Malachi Flynn,PG,1
158,158,Bryn Forbes,SG,1
159,159,Trent Forrest,PG,1
160,160,Evan Fournier,SF-SG,1
161,161,De'Aaron Fox,PG,0
162,162,Robert Franks,PF,1
163,163,Tim Frazier,PG,1
164,164,Enes Freedom,C,3
165,165,Markelle Fultz,PG,1
166,166,Wenyen Gabriel,PF,1
167,167,Daniel Gafford,PF-C,3
168,168,Danilo Gallinari,PF,1
169,169,Langston Galloway,SG,1
170,170,Darius Garland,PG,1
171,171,Marc Gasol,C,1
172,172,Rudy Gay,PF,1
173,173,Paul George,SF,0
174,174,Taj Gibson,C,3
175,175,Harry Giles,C,3
176,176,Shai Gilgeous-Alexander,SG,0
177,177,Anthony Gill,PF,1
178,178,Freddie Gillespie,PF,3
179,179,Rudy Gobert,C,3
180,180,Brandon Goodwin,PG,1
181,181,Aaron Gordon,PF,1
182,182,Eric Gordon,SG,1
183,183,Devonte' Graham,PG,1
184,184,Jerami Grant,SF,0
185,185,Danny Green,SF,1
186,186,Draymond Green,PF,1
187,187,JaMychal Green,PF,1
188,188,Javonte Green,SF-SG,1
189,189,Jeff Green,C,1
190,190,Josh Green,SG,1
191,191,Blake Griffin,PF,1
192,192,Kyle Guy,PG,1
193,193,Rui Hachimura,PF,1
194,194,Ashton Hagans,PG,2
195,195,Tyrese Haliburton,PG,1
196,196,Donta Hall,PF,3
197,197,Josh Hall,SF,1
198,198,R.J. Hampton,SG-PG,1
199,199,Tim Hardaway Jr.,SG,1
200,200,James Harden,PG-SG,0
201,201,Maurice Harkless,PF-SF,1
202,202,Jared Harper,PG,2
203,203,Montrezl Harrell,C,3
204,204,Gary Harris,SG,1
205,205,Jalen Harris,SG,1
206,206,Joe Harris,SF,1
207,207,Tobias Harris,PF,0
208,208,Shaquille Harrison,SG,1
209,209,Josh Hart,SF,1
210,210,Isaiah Hartenstein,C,3
211,211,Udonis Haslem,C,0
212,212,Jaxson Hayes,C,3
213,213,Killian Hayes,PG,1
214,214,Gordon Hayward,SF,0
215,215,Juancho Hernangómez,PF,1
216,216,Willy Hernangómez,C,3
217,217,Tyler Herro,SG,1
218,218,Buddy Hield,SG,1
219,219,George Hill,PG,1
220,220,Solomon Hill,PF,1
221,221,Nate Hinton,SG,1
222,222,Jaylen Hoard,SF,3
223,223,Aaron Holiday,PG,1
224,224,Jrue Holiday,PG,0
225,225,Justin Holiday,SG,1
226,226,Rondae Hollis-Jefferson,PF,3
227,227,Richaun Holmes,C,3
228,228,Rodney Hood,SF,1
229,229,Al Horford,C,1
230,230,Talen Horton-Tucker,SG,1
231,231,Danuel House Jr.,SF,1
232,232,Dwight Howard,C,3
233,233,Markus Howard,SG,1
234,234,Kevin Huerter,SG,1
235,235,Elijah Hughes,SF,1
236,236,De'Andre Hunter,SF,1
237,237,Chandler Hutchison,SF,1
238,238,Serge Ibaka,C,3
239,239,Andre Iguodala,SF,1
240,240,Ersan İlyasova,PF,1
241,241,Joe Ingles,SF,1
242,242,Brandon Ingram,SF,0
243,243,Kyrie Irving,PG,0
244,244,Wes Iwundu,SF,1
245,245,Frank Jackson,PG,1
246,246,Jaren Jackson Jr.,C,3
247,247,Josh Jackson,SG,1
248,248,Justin Jackson,SF,1
249,249,Reggie Jackson,SG,1
250,250,Justin James,SF,1
251,251,LeBron James,PG,0
252,252,Mike James,PG,1
253,253,DaQuan Jeffries,SG,1
254,254,Ty Jerome,SG,1
255,255,Isaiah Joe,SG,1
256,256,Alize Johnson,PF,3
257,257,Cameron Johnson,PF,1
258,258,James Johnson,PF,1
259,259,Keldon Johnson,SF,1
260,260,Stanley Johnson,PF,1
261,261,Tyler Johnson,SG,1
262,262,Nikola Jokić,C,0
263,263,Damian Jones,C,3
264,264,Derrick Jones Jr.,SF,1
265,265,Mason Jones,SG,1
266,266,Tre Jones,PG,1
267,267,Tyus Jones,PG,1
268,268,DeAndre Jordan,C,3
269,269,Cory Joseph,PG,1
270,270,Mfiondu Kabengele,PF,1
271,271,Frank Kaminsky,C,3
272,272,Luke Kennard,SG,1
273,273,Louis King,SF,1
274,274,Maxi Kleber,PF,1
275,275,Nathan Knight,PF,3
276,276,Kevin Knox,SF,1
277,277,John Konchar,SG,1
278,278,Furkan Korkmaz,SG,1
279,279,Luke Kornet,C-PF,1
280,280,Rodions Kurucs,SF-PF,1
281,281,Kyle Kuzma,SF,1
282,282,Anthony Lamb,SF,1
283,283,Jeremy Lamb,SG,1
284,284,Romeo Langford,SG,1
285,285,Zach LaVine,SG,0
286,286,Jake Layman,SF,1
287,287,T.J. Leaf,PF,1
288,288,Jalen Lecque,PG,3
289,289,Damion Lee,SG,1
290,290,Saben Lee,PG,1
291,291,Alex Len,C,3
292,292,Kawhi Leonard,SF,0
293,293,Meyers Leonard,C,1
294,294,Caris LeVert,SG,0
295,295,Kira Lewis Jr.,PG,1
296,296,Damian Lillard,PG,0
297,297,Nassir Little,PF,1
298,298,Kevon Looney,C,3
299,299,Brook Lopez,C,1
300,300,Robin Lopez,C,3
301,301,Didi Louzada,SF,1
302,302,Kevin Love,PF,1
303,303,Kyle Lowry,PG,1
304,304,Timothé Luwawu-Cabarrot,SF,1
